qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,stitle,staxids,sscinames,sphylums
contig_10,QND78592.1,26.2,423,223,22,806,1894,75,464,6.14e-4,57.8,QND78592.1 aspartyl/glutamyl-tRNA amidotransferasesubunit B [Candidatus Nasuia deltocephalinicola],1160784,Candidatus Nasuia deltocephalinicola,Proteobacteria
contig_100,XP_033755738.1,31.9,486,309,7,11296,9904,5,487,6.59e-66,247,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_101,AKC35206.1,24.9,2005,1074,91,3158,8499,506,2287,1.53e-18,108,AKC35206.1 DNA-directed RNA polymberase subunit beta [Ulva sp. UNA00071828],1641711,Ulva sp. UNA00071828,Chlorophyta
contig_102,KAG0434560.1,36.2,218,133,0,17821,18456,1,212,1.45e-22,112,KAG0434560.1 hypothetical protein DMUE_5137 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_103,YP_003795227.1,28.2,490,261,22,29,1313,117,572,2.65e-5,61.2,YP_003795227.1 hypothetical protein PROLAC_050 [Proteromonas lacertae],42746,Proteromonas lacertae,0
contig_104,YP_010530066.1,26.3,1316,704,53,5865,9436,1118,2277,4.81e-7,70.5,YP_010530066.1 RNA polymerase b''-subunit [Ulva tepida],1451047,Ulva tepida,Chlorophyta
contig_106,KAG0434560.1,33.5,218,139,1,15770,15131,1,212,1.16e-18,100,KAG0434560.1 hypothetical protein DMUE_5137 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_112,XP_057336463.1,31.9,520,310,11,51392,49891,3,492,3.1100000000000002e-58,226,XP_057336463.1 tigger transposable element-derived protein 4-like [Microplitis mediator],375433,Microplitis mediator,Arthropoda
contig_113,KAF7685601.1,35.5,332,206,3,21875,20897,1,325,3.25e-40,167,KAF7685601.1 hypothetical protein CDIK_3650 [Cucumispora dikerogammari],658444,Cucumispora dikerogammari,Microsporidia
contig_114,YP_010020355.1,26.5,964,519,40,2022,4621,1094,1951,6.89e-10,78.6,YP_010020355.1 DNA-directed RNA polymerase subunit beta [Ulva australis],111616,Ulva australis,Chlorophyta
contig_119,AQX44070.1,24.5,799,457,32,25639,27858,5,710,3.52e-5,66.6,AQX44070.1 DNA-directed RNA polymerase subunit B [Plasmodium ovale wallikeri],864142,Plasmodium ovale wallikeri,Apicomplexa
contig_12,TBU03337.1,34.5,862,520,16,3687,1157,292,1125,8.83e-142,472,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_120,CAG9563419.1,32.1,524,318,12,45784,47295,3,506,4.310000000000001e-59,229,CAG9563419.1 unnamed protein product [Danaus chrysippus],151541,Danaus chrysippus,Arthropoda
contig_121,WFS80099.1,26.2,732,384,33,2039,77,1564,2212,1.04e-5,64.3,WFS80099.1 RNA polymerase beta'' subunit [Ulva meridionalis],434723,Ulva meridionalis,Chlorophyta
contig_122,BAL70641.1,26.5,423,244,16,284,1426,1,394,1.34e-5,63.9,BAL70641.1 caseinolytic protease C [Plasmodium coatneyi],208452,Plasmodium coatneyi,Apicomplexa
contig_123,CAG7636333.1,38.5,579,258,8,87403,89125,47,529,3.2499999999999995e-107,370,CAG7636333.1 unnamed protein product [Allacma fusca],39272,Allacma fusca,Arthropoda
contig_124,YP_010530066.1,27.4,1120,608,48,3528,544,1209,2228,8.28e-9,74.3,YP_010530066.1 RNA polymerase b''-subunit [Ulva tepida],1451047,Ulva tepida,Chlorophyta
contig_125,CAH2099452.1,30.8,490,300,10,20004,18608,35,506,1.27e-53,211,CAH2099452.1 unnamed protein product [Euphydryas editha],104508,Euphydryas editha,Arthropoda
contig_126,TBU03337.1,32.4,982,609,19,19338,22219,176,1120,7.989999999999999e-133,466,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_127,XP_031346362.1,33.2,316,141,4,20695,21619,450,698,4.91e-21,116,XP_031346362.1 general transcription and DNA repair factor IIH helicase subunit XPB [Photinus pyralis],7054,Photinus pyralis,Arthropoda
contig_128,WFS80099.1,27.2,668,368,28,4574,2771,1829,2434,2.72e-6,66.6,WFS80099.1 RNA polymerase beta'' subunit [Ulva meridionalis],434723,Ulva meridionalis,Chlorophyta
contig_13,XP_046549186.1,37,465,265,11,1503,159,15,463,1.73e-64,243,XP_046549186.1 tigger transposable element-derived protein 6-like [Haliotis rubra],36100,Haliotis rubra,Mollusca
contig_130,CAI2353540.1,50.1,686,234,6,30309,28262,87,664,3.02e-190,615,CAI2353540.1 unnamed protein product [Caenorhabditis sp. 36 PRJEB53466],2970133,Caenorhabditis sp. 36 PRJEB53466,Nematoda
contig_131,CAG9772045.1,44.6,240,92,2,5502,6199,86,290,7.17e-49,191,CAG9772045.1 unnamed protein product [Ceutorhynchus assimilis],467358,Ceutorhynchus assimilis,Arthropoda
contig_133,YP_010530156.1,25.6,1127,595,53,40,3053,986,1978,5.96e-8,71.2,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
